budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year
25000000,Twentieth Century Fox Film Corporation,USA,Nicholas Hytner,Drama,7340103,The Crucible,PG-13,27-11-1996,124,6.8,Daniel Day-Lewis,30726,Arthur Miller,1996
26000000,Clavius Base,USA,Tom Hanks,Comedy,25809813,That Thing You Do!,PG,04-10-1996,108,6.9,Tom Hanks,53448,Tom Hanks,1996
890000,Miramax,USA,Billy Bob Thornton,Drama,24475416,Sling Blade,R,14-03-1997,135,8,Billy Bob Thornton,76760,Billy Bob Thornton,1996
45000000,Digital Image Associates,USA,Jonathan Frakes,Action,92001027,First Contact,PG-13,22-11-1996,111,7.6,Patrick Stewart,103044,Gene Roddenberry,1996
9000000,Alliance Communications Corporation,Canada,David Cronenberg,Drama,2038450,Crash: Extraños placeres,NC-17,21-03-1997,100,6.4,James Spader,44693,J.G. Ballard,1996
55000000,Warner Bros.,USA,Stuart Baird,Action,56569216,Executive Decision,R,15-03-1996,133,6.4,Kurt Russell,43393,Jim Thomas,1996
45000000,Regency Enterprises,USA,Ron Shelton,Comedy,53854588,Tin Cup,R,16-08-1996,135,6.3,Kevin Costner,40040,John Norville,1996
7000000,Columbia Pictures Corporation,USA,Wes Anderson,Comedy,560069,Bottle Rocket,R,21-02-1996,91,7.1,Luke Wilson,58644,Owen Wilson,1996
15000000,Motion Picture Corporation of America (MPCA),USA,Jason Bloom,Comedy,26757000,Bio-Dome,PG-13,12-01-1996,88,4.4,Pauly Shore,22728,Adam Leff,1996
75000000,Walt Disney Pictures,USA,Stephen Herek,Adventure,136189294,101 Dalmatians,G,27-11-1996,103,5.7,Glenn Close,81872,Dodie Smith,1996
3800000,Island Pictures,USA,Paris Barclay,Comedy,20109115,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,R,12-01-1996,89,6.6,Shawn Wayans,40789,Shawn Wayans,1996
27000000,Rysher Entertainment,USA,Bobby Farrelly,Comedy,24944213,Kingpin,PG-13,26-07-1996,113,6.9,Woody Harrelson,67115,Barry Fanaro,1996
38000000,Walt Disney Pictures,UK,Henry Selick,Animation,28934758,James and the Giant Peach,PG,12-04-1996,79,6.7,Paul Terry,52633,Roald Dahl,1996
4500000,Dino De Laurentiis Company,USA,Lana Wachowski,Crime,3798532,Bound,R,04-10-1996,108,7.4,Jennifer Tilly,43599,Lilly Wachowski,1996
40000000,Castle Rock Entertainment,USA,Andrew Bergman,Comedy,33109743,Striptease,R,28-06-1996,115,4.3,Demi Moore,36876,Carl Hiaasen,1996
26000000,Paramount Pictures,USA,Hugh Wilson,Comedy,105489203,The First Wives Club,PG,20-09-1996,103,6.2,Goldie Hawn,34686,Olivia Goldsmith,1996
8500000,Paramount Pictures,USA,Tom Holland,Fantasy,15171475,Thinner,R,25-10-1996,93,5.7,Joe Mantegna,22170,Stephen King,1996
57000000,Universal Pictures,USA,Rob Cohen,Action,51367375,DragonHeart,PG-13,31-05-1996,103,6.4,Dennis Quaid,82032,Patrick Read Johnson,1996
54000000,Imagine Entertainment,USA,Tom Shadyac,Comedy,128814019,The Nutty Professor,PG-13,28-06-1996,95,5.6,Eddie Murphy,92803,Jerry Lewis,1996
54000000,Imagine Entertainment,USA,Tom Shadyac,Comedy,128814019,The Nutty Professor,PG-13,28-06-1996,95,5.6,Eddie Murphy,92803,Jerry Lewis,1996
200000,Doug Liman Productions,USA,Doug Liman,Comedy,4505922,Swingers,R,11-04-1997,96,7.3,Vince Vaughn,67289,Jon Favreau,1996
47000000,Columbia Pictures Corporation,USA,Ben Stiller,Comedy,60240295,The Cable Guy,PG-13,14-06-1996,96,6.1,Jim Carrey,130570,Lou Holtz Jr.,1996
18000000,Castle Rock Entertainment,UK,Kenneth Branagh,Drama,4414535,Hamlet,PG-13,25-12-1996,242,7.8,Kenneth Branagh,32078,William Shakespeare,1996
30000000,Universal Pictures,New Zealand,Peter Jackson,Comedy,16759216,Muertos de miedo,R,19-07-1996,110,7.1,Michael J. Fox,71729,Fran Walsh,1996
10000000,Fiction Films,Italy,Bernardo Bertolucci,Drama,4573330,Stealing Beauty,R,14-06-1996,118,6.6,Jeremy Irons,21747,Bernardo Bertolucci,1996
6000000,Miramax,UK,Douglas McGrath,Comedy,22201883,Emma,PG,30-08-1996,120,6.7,Gwyneth Paltrow,29972,Jane Austen,1996
6000000,Miramax,UK,Douglas McGrath,Comedy,22201883,Emma,PG,30-08-1996,120,6.7,Gwyneth Paltrow,29972,Jane Austen,1996
50000000,Paramount Pictures,USA,John Carpenter,Action,25477365,Escape from L.A.,R,09-08-1996,101,5.7,Kurt Russell,58556,John Carpenter,1996
65000000,Forge,USA,Renny Harlin,Action,33328051,The Long Kiss Goodnight,R,11-10-1996,121,6.7,Geena Davis,63699,Shane Black,1996
65000000,Forge,USA,Renny Harlin,Action,33328051,The Long Kiss Goodnight,R,11-10-1996,121,6.7,Geena Davis,63699,Shane Black,1996
65000000,Forge,USA,Renny Harlin,Action,33328051,The Long Kiss Goodnight,R,11-10-1996,121,6.7,Geena Davis,63699,Shane Black,1996
45000000,American Zoetrope,USA,Francis Ford Coppola,Comedy,58620973,Jack,PG-13,09-08-1996,113,5.8,Robin Williams,49346,James DeMonaco,1996
100000000,Kopelson Entertainment,USA,Chuck Russell,Action,101295562,Eraser,R,21-06-1996,115,6.1,Arnold Schwarzenegger,90008,Tony Puryear,1996
100000000,Kopelson Entertainment,USA,Chuck Russell,Action,101295562,Eraser,R,21-06-1996,115,6.1,Arnold Schwarzenegger,90008,Tony Puryear,1996
50000000,Twentieth Century Fox Film Corporation,USA,John Woo,Action,70770147,Broken Arrow,R,09-02-1996,108,6,John Travolta,81083,Graham Yost,1996
45000000,Columbia Pictures Corporation,USA,Harold Ramis,Comedy,20100000,Multiplicity,PG-13,17-07-1996,117,6,Michael Keaton,26196,Chris Miller,1996
9000000,New Line Cinema,USA,F. Gary Gray,Action,36049108,Set It Off,R,06-11-1996,123,6.8,Jada Pinkett Smith,11203,Takashi Bufford,1996
25000000,Live Entertainment,USA,David Twohy,Sci-Fi,14048372,The Arrival,PG-13,31-05-1996,115,6.3,Charlie Sheen,27641,David Twohy,1996
55000000,Constellation Entertainment,Germany,Stephen Hopkins,Adventure,38619405,Garras,R,11-10-1996,110,6.8,Michael Douglas,49044,William Goldman,1996
4100000,Rysher Entertainment,USA,Campbell Scott,Drama,11881039,Big Night,R,20-09-1996,109,7.3,Tony Shalhoub,13983,Stanley Tucci,1996
,Walt Disney Pictures,USA,Robert Lieberman,Action,22936273,D3: The Mighty Ducks,PG,04-10-1996,104,5.3,Emilio Estevez,20543,Steven Brill,1996
60000000,1492 Pictures,USA,Brian Levant,Comedy,60573641,Jingle All the Way,PG,22-11-1996,89,5.5,Arnold Schwarzenegger,74318,Randy Kornfield,1996
31000000,Twentieth Century Fox Film Corporation,USA,David S. Ward,Comedy,25785603,Down Periscope,PG-13,01-03-1996,92,6,Kelsey Grammer,18045,Hugh Wilson,1996
31000000,Twentieth Century Fox Film Corporation,USA,David S. Ward,Comedy,25785603,Down Periscope,PG-13,01-03-1996,92,6,Kelsey Grammer,18045,Hugh Wilson,1996
80000000,Touchstone Pictures,USA,Ron Howard,Action,136492681,Ransom,R,08-11-1996,121,6.6,Mel Gibson,104513,Cyril Hume,1996
55000000,Hollywood Pictures,USA,Alan Parker,Biography,50047179,Evita,PG,10-01-1997,135,6.3,Madonna,30484,Tim Rice,1996
67000000,Lone Wolf,USA,Walter Hill,Action,17600000,Last Man Standing,R,20-09-1996,101,6.4,Bruce Willis,47034,Ryûzô Kikushima,1996
32000000,Touchstone Pictures,USA,Jon Turteltaub,Drama,104636382,Phenomenon,PG,03-07-1996,123,6.4,John Travolta,66920,Gerald Di Pego,1996
23000000,Scott Rudin Productions,USA,Jerry Zaks,Drama,12782508,Marvin's Room,PG-13,28-02-1997,98,6.7,Meryl Streep,21695,Scott McPherson,1996
23000000,Scott Rudin Productions,USA,Jerry Zaks,Drama,12782508,Marvin's Room,PG-13,28-02-1997,98,6.7,Meryl Streep,21695,Scott McPherson,1996
46000000,Davis Entertainment,USA,Edward Zwick,Action,59031057,Courage Under Fire,R,12-07-1996,116,6.6,Denzel Washington,43118,Patrick Sheane Duncan,1996
20000000,Miramax,USA,Woody Allen,Comedy,9714482,Everyone Says I Love You,R,17-01-1997,101,6.8,Woody Allen,31731,Woody Allen,1996
3000000,Green Parrot,USA,Paul Thomas Anderson,Crime,222559,Hard Eight,R,28-02-1997,102,7.3,Philip Baker Hall,31261,Paul Thomas Anderson,1996
5500000,Australian Film Finance Corporation (AFFC),Australia,Scott Hicks,Biography,35811509,Claroscuro,PG-13,14-02-1997,105,7.7,Geoffrey Rush,45511,Jan Sardi,1996
80000000,Davis Entertainment,USA,Rob Cohen,Action,33023469,Daylight,PG-13,06-12-1996,114,5.8,Sylvester Stallone,56630,Leslie Bohem,1996
45000000,Paramount Pictures,USA,Simon Wincer,Action,17300889,The Phantom,PG,07-06-1996,100,4.9,Billy Zane,28886,Lee Falk,1996
3300000,Eleventh Street Production,USA,Julian Schnabel,Biography,2961991,Basquiat,R,09-08-1996,108,6.9,Jeffrey Wright,16846,Lech Majewski,1996
3500000,Good Machine,USA,Edward Burns,Comedy,9449219,She's the One,R,23-08-1996,96,6,Edward Burns,14689,Edward Burns,1996
3500000,Good Machine,USA,Edward Burns,Comedy,9449219,She's the One,R,23-08-1996,96,6,Edward Burns,14689,Edward Burns,1996
3000000,"Kushner-Locke Company, The",USA,Matthew Bright,Comedy,295493,Freeway,R,04-12-1997,104,6.9,Reese Witherspoon,23194,Matthew Bright,1996
18000000,Hollywood Pictures,USA,Rick Friedberg,Comedy,26906039,Spy Hard,PG-13,24-05-1996,81,5.3,Leslie Nielsen,31561,Jason Friedberg,1996
8000000,Amblin Entertainment,USA,David Koepp,Drama,3594848,The Trigger Effect,R,30-08-1996,NaN,5.7,Kyle MacLachlan,5195,James Burke,1996
30000000,MDP Worldwide,USA,Jean-Claude Van Damme,Action,21600000,The Quest,PG-13,26-04-1996,95,5.5,Jean-Claude Van Damme,20369,Frank Dux,1996
55000000,TriStar Pictures,USA,Tony Scott,Action,18573791,The Fan,R,16-08-1996,116,5.8,Robert De Niro,40765,Peter Abrahams,1996
13000000,Universal City Studios,USA,Gilbert Adler,Comedy,5587855,Bordello of Blood,R,16-08-1996,87,5.3,Dennis Miller,11251,William M. Gaines,1996
4000000,Castle Rock Entertainment,USA,Christopher Guest,Comedy,2923982,Waiting for Guffman,R,31-01-1997,84,7.6,Christopher Guest,23604,Christopher Guest,1996
4000000,Castle Rock Entertainment,USA,Christopher Guest,Comedy,2923982,Waiting for Guffman,R,31-01-1997,84,7.6,Christopher Guest,23604,Christopher Guest,1996
28000000,Warner Bros.,UK,Neil Jordan,Biography,11092559,Michael Collins,R,25-10-1996,133,7.1,Liam Neeson,25719,Neil Jordan,1996
38000000,Hollywood Pictures,USA,Ridley Scott,Adventure,10300000,White Squall,PG-13,02-02-1996,129,6.6,Jeff Bridges,18875,Charles Gieg Jr.,1996
38000000,Hollywood Pictures,USA,Ridley Scott,Adventure,10300000,White Squall,PG-13,02-02-1996,129,6.6,Jeff Bridges,18875,Charles Gieg Jr.,1996
38000000,Hollywood Pictures,USA,Ridley Scott,Adventure,10300000,White Squall,PG-13,02-02-1996,129,6.6,Jeff Bridges,18875,Charles Gieg Jr.,1996
4500000,Channel Four Films,France,Mike Leigh,Drama,13417292,Secrets & Lies,R,28-02-1997,136,8,Timothy Spall,30816,Mike Leigh,1996
5000000,Columbia Pictures Corporation,USA,John Sayles,Drama,13269963,Lone Star,R,21-06-1996,135,7.5,Chris Cooper,24495,John Sayles,1996
20000000,Interscope Communications,USA,Paul Michael Glaser,Comedy,18876581,Kazaam,PG,17-07-1996,93,2.8,Shaquille O'Neal,20357,Paul Michael Glaser,1996
20000000,Interscope Communications,USA,Paul Michael Glaser,Comedy,18876581,Kazaam,PG,17-07-1996,93,2.8,Shaquille O'Neal,20357,Paul Michael Glaser,1996
20000000,Paramount Pictures,USA,John Schlesinger,Crime,26792700,Eye for an Eye,R,12-01-1996,101,6.1,Sally Field,10968,Erika Holzer,1996
13000000,Bad Bird Productions,USA,Tim Pope,Action,17883659,The Crow: City of Angels,R,30-08-1996,84,4.5,Vincent Perez,16707,James O'Barr,1996
25000000,Universal Pictures,USA,Ernest R. Dickerson,Action,21162420,Bulletproof,R,06-09-1996,84,5.8,Damon Wayans,31241,Joe Gayton,1996
36000000,Castle Rock Entertainment,USA,Rob Reiner,Drama,13052741,Ghosts of Mississippi,PG-13,03-01-1997,130,6.7,Alec Baldwin,8989,Lewis Colick,1996
75000000,Brandywine Productions,USA,Jean-Pierre Jeunet,Action,47748610,Alien Resurrection,R,26-11-1997,109,6.2,Sigourney Weaver,191097,Dan O'Bannon,1997
73000000,Universal Pictures,USA,Steven Spielberg,Action,229086679,The Lost World: Jurassic Park,PG-13,23-05-1997,129,6.5,Jeff Goldblum,305054,Michael Crichton,1997
60000000,Golar Productions,UK,Paul W.S. Anderson,Horror,26673242,Event Horizon,R,15-08-1997,96,6.7,Laurence Fishburne,130640,Philip Eisner,1997
110000000,Eon Productions,UK,Roger Spottiswoode,Action,125332007,Tomorrow Never Dies,PG-13,19-12-1997,119,6.5,Pierce Brosnan,157749,Bruce Feirstein,1997
50000000,Twentieth Century Fox Film Corporation,USA,Don Bluth,Animation,58406347,Anastasia,G,21-11-1997,94,7.1,Meg Ryan,94409,Susan Gauthier,1997
90000000,Twentieth Century Fox Film Corporation,USA,Mick Jackson,Action,49323468,Volcano,PG-13,25-04-1997,104,5.4,Tommy Lee Jones,62450,Jerome Armstrong,1997
35000000,Mandalay Entertainment,USA,Mike Newell,Biography,41909762,Donnie Brasco,R,28-02-1997,127,7.8,Al Pacino,239317,Joseph D. Pistone,1997
50000000,TriStar Pictures,USA,James L. Brooks,Comedy,148478011,As Good as It Gets,PG-13,25-12-1997,139,7.7,Jack Nicholson,238028,Mark Andrus,1997
17000000,Capella International,USA,Jay Roach,Adventure,53883989,Austin Powers: International Man of Mystery,PG-13,02-05-1997,94,7,Mike Myers,193479,Mike Myers,1997
15000000,October Films,France,David Lynch,Mystery,3796699,Por el lado oscuro del camino,R,21-02-1997,134,7.6,Bill Pullman,107530,David Lynch,1997
40000000,Constellation Entertainment,USA,Francis Ford Coppola,Crime,45856732,The Rainmaker,PG-13,21-11-1997,135,7.1,Matt Damon,50025,John Grisham,1997
45000000,Universal Pictures,USA,Tom Shadyac,Comedy,,Liar Liar,PG-13,21-03-1997,86,6.8,Jim Carrey,237870,Paul Guay,1997
45000000,Universal Pictures,USA,Tom Shadyac,Comedy,181410615,Liar Liar,PG-13,21-03-1997,86,6.8,Jim Carrey,237870,Paul Guay,1997
116000000,Universal Pictures,USA,Roger Donaldson,Action,67127760,Dante's Peak,PG-13,07-02-1997,108,5.9,Pierce Brosnan,67277,Leslie Bohem,1997
20000000,Q Productions,USA,Gregory Nava,Biography,35422828,Selena,PG,21-03-1997,127,6.7,Jennifer Lopez,20575,Gregory Nava,1997
40000000,New Line Cinema,USA,Mark A.Z. Dippé,Action,54967359,Spawn,R,01-08-1997,96,5.2,John Leguizamo,56225,Todd McFarlane,1997
46000000,TriStar Pictures,USA,P.J. Hogan,Comedy,127120029,My Best Friend's Wedding,PG-13,20-06-1997,105,6.3,Julia Roberts,106240,Ronald Bass,1997
46000000,TriStar Pictures,USA,P.J. Hogan,Comedy,127120029,My Best Friend's Wedding,PG-13,20-06-1997,105,6.3,Julia Roberts,106240,Ronald Bass,1997
24000000,Dimension Films,USA,Wes Craven,Horror,101363301,Scream 2,R,12-12-1997,120,6.1,Neve Campbell,133216,Kevin Williamson,1997
24000000,Dimension Films,USA,Wes Craven,Horror,101363301,Scream 2,R,12-12-1997,120,6.1,Neve Campbell,133216,Kevin Williamson,1997
24000000,Dimension Films,USA,Wes Craven,Horror,101363301,Scream 2,R,12-12-1997,120,6.1,Neve Campbell,133216,Kevin Williamson,1997
45000000,Cinema Line Film Corporation,USA,Luis Llosa,Action,65885767,Anaconda,PG-13,11-04-1997,89,4.7,Jon Voight,79593,Hans Bauer,1997
1300000,Fine Line Features,USA,Harmony Korine,Comedy,19820,Gummo,R,24-11-1997,89,6.7,Nick Sutton,26360,Harmony Korine,1997
36000000,DreamWorks,USA,Steven Spielberg,Drama,44175394,Amistad,R,25-12-1997,155,7.3,Djimon Hounsou,60668,David Franzoni,1997
55000000,Walt Disney Pictures,USA,Sam Weisman,Action,105263257,George of the Jungle,PG,16-07-1997,92,5.4,Brendan Fraser,60243,Jay Ward,1997
85000000,Columbia Pictures Corporation,USA,Wolfgang Petersen,Action,172956409,Air Force One,R,25-07-1997,124,6.5,Harrison Ford,155674,Andrew W. Marlowe,1997
30000000,Dimension Films,NaN,Guillermo del Toro,Horror,25480490,Mimic,R,22-08-1997,105,5.9,Mira Sorvino,39195,Donald A. Wollheim,1997
32000000,Twentieth Century Fox Film Corporation,USA,Raja Gosnell,Comedy,30882515,Home Alone 3,PG,12-12-1997,102,4.3,Alex D. Linz,83369,John Hughes,1997
1000000,Kuzui Enterprises,USA,Trey Parker,Comedy,582024,Orgazmo,NC-17,23-10-1998,94,,Trey Parker,31548,Trey Parker,1997
22000000,Polygram Filmed Entertainment,UK,Mel Smith,Adventure,45319423,Bean,PG-13,07-11-1997,89,6.4,Rowan Atkinson,81315,Rowan Atkinson,1997
22000000,Polygram Filmed Entertainment,UK,Mel Smith,Adventure,45319423,Bean,PG-13,07-11-1997,89,6.4,Rowan Atkinson,81315,Rowan Atkinson,1997
70000000,Mandalay Entertainment,USA,Jean-Jacques Annaud,Adventure,37957682,Seven Years in Tibet,PG-13,10-10-1997,136,7,Brad Pitt,103750,Heinrich Harrer,1997
180000,The Institute for the Intellectual Development of Children & Young Adults,Iran,Majid Majidi,Drama,925402,Children of Heaven,PG,22-01-1999,89,8.4,Mohammad Amir Naji,37590,Majid Majidi,1997
15000000,Hollywood Pictures,USA,George Armitage,Action,28014536,Grosse Pointe Blank,R,11-04-1997,107,7.4,John Cusack,77687,Tom Jankiewicz,1997
50000000,Caravan Pictures,USA,Ridley Scott,Action,48169156,G.I. Jane,R,22-08-1997,125,5.9,Demi Moore,64233,Danielle Alexandra,1997
3500000,Redwave Films,UK,Peter Cattaneo,Comedy,45950122,The Full Monty,R,19-09-1997,91,7.2,Robert Carlyle,86993,Simon Beaufoy,1997
27000000,Paramount Pictures,USA,Gary Fleder,Crime,60527873,Kiss the Girls,R,03-10-1997,115,6.6,Morgan Freeman,54408,James Patterson,1997
250000,Too Askew Prod. Inc.,USA,Kevin Smith,Comedy,12006514,Chasing Amy,R,18-04-1997,113,7.3,Ben Affleck,119658,Kevin Smith,1997
25000000,Columbia Pictures Corporation,UK,Bob Spiers,Comedy,29342592,Spice World,PG,23-01-1998,93,3.4,Melanie Brown,29357,Spice Girls,1997
50000000,Castle Rock Entertainment,USA,Clint Eastwood,Action,50007168,Absolute Power,R,14-02-1997,121,6.7,Clint Eastwood,42417,David Baldacci,1997
30000000,New Line Cinema,USA,John R. Leonetti,Action,35927406,Mortal Kombat: Annihilation,PG-13,21-11-1997,95,3.7,Robin Shou,38860,Ed Boon,1997
10000000,Miramax,USA,James Mangold,Crime,44886089,Cop Land,R,15-08-1997,105,6.9,Sylvester Stallone,73991,James Mangold,1997
35000000,Paramount Pictures,USA,Frank Oz,Comedy,63856929,In & Out,PG-13,19-09-1997,90,6.3,Kevin Kline,33955,Paul Rudnick,1997
,Canal+ España,Spain,Alejandro Amenábar,Drama,368234,Open Your Eyes,R,19-12-1997,117,7.8,Eduardo Noriega,56004,Alejandro Amenábar,1997
18000000,Fox Searchlight Pictures,USA,Ang Lee,Drama,7837632,The Ice Storm,R,26-11-1997,112,7.5,Kevin Kline,48479,Rick Moody,1997
60000000,Universal Pictures,USA,Michael Caton-Jones,Action,54930280,The Jackal,R,14-11-1997,124,6.4,Bruce Willis,,Kenneth Ross,1997
19000000,Phoenix Pictures,France,Oliver Stone,Crime,6633400,Camino sin retorno,R,03-10-1997,125,6.8,Sean Penn,44133,John Ridley,1997
20000000,Paramount Pictures,USA,Betty Thomas,Biography,41198146,Private Parts,R,07-03-1997,109,6.8,Howard Stern,30718,Howard Stern,1997
9000000,Paramount Pictures,USA,Brian Robbins,Comedy,23687907,Good Burger,PG,25-07-1997,95,5.7,Kel Mitchell,22284,Dan Schneider,1997
35000000,Warner Bros.,USA,Clint Eastwood,Crime,25078937,Midnight in the Garden of Good and Evil,R,21-11-1997,155,6.6,John Cusack,33319,John Berendt,1997
15000000,Baltimore Pictures,USA,Barry Levinson,Comedy,43022524,Wag the Dog,R,09-01-1998,97,7.1,Dustin Hoffman,70832,Larry Beinhart,1997
68000000,Paramount Pictures,USA,Phillip Noyce,Action,61355436,The Saint,PG-13,04-04-1997,116,6.2,Val Kilmer,54546,Leslie Charteris,1997
160000000,Blue Tulip Productions,USA,Jan de Bont,Action,48608066,Speed 2: Cruise Control,PG-13,13-06-1997,121,3.8,Sandra Bullock,64186,Graham Yost,1997
25000000,Warner Bros.,USA,Stephen Kessler,Comedy,36429528,Vegas Vacation,PG,14-02-1997,93,5.9,Chevy Chase,36231,Elisa Bell,1997
86000000,Columbia Pictures Corporation,USA,Alan J. Pakula,Action,42868348,The Devil's Own,R,26-03-1997,111,6.1,Harrison Ford,49303,Kevin Jarre,1997
75000000,Warner Bros.,USA,Richard Donner,Action,75982834,Conspiracy Theory,R,08-08-1997,135,6.7,Mel Gibson,81477,Brian Helgeland,1997
29000000,Polygram Filmed Entertainment,UK,Peter Hewitt,Adventure,22359293,The Borrowers,PG,13-02-1998,89,5.8,John Goodman,17334,Mary Norton,1997
32000000,Walt Disney Pictures,USA,John Pasquin,Comedy,59925026,Jungle 2 Jungle,PG,07-03-1997,105,5.1,Tim Allen,19393,Hervé Palud,1997
36000000,Dino De Laurentiis Company,USA,Jonathan Mostow,Action,50129186,Breakdown,R,02-05-1997,93,6.9,Kurt Russell,40913,Jonathan Mostow,1997
80000000,Walt Disney Pictures,USA,Les Mayfield,Comedy,92977226,Flubber,PG,26-11-1997,93,5.2,Robin Williams,69813,Samuel W. Taylor,1997
38000000,DreamWorks,USA,Gore Verbinski,Comedy,61917389,Mousehunt,PG,19-12-1997,98,6.4,Nathan Lane,44226,Adam Rifkin,1997
10000000,3 Arts Entertainment,USA,Glenn Gordon Caron,Comedy,31058643,Picture Perfect,PG-13,01-08-1997,105,5.5,Jennifer Aniston,16867,Arleen Sorkin,1997
50000000,DreamWorks,USA,Mimi Leder,Action,41263140,The Peacemaker,R,26-09-1997,124,5.9,George Clooney,48476,Leslie Cockburn,1997
70000000,DreamWorks,USA,Steven Spielberg,Drama,216540909,Saving Private Ryan,R,24-07-1998,169,8.6,Tom Hanks,979007,Robert Rodat,1998
15000000,Polygram Filmed Entertainment,USA,Joel Coen,Comedy,17451873,The Big Lebowski,R,06-03-1998,117,8.2,Jeff Bridges,592823,Ethan Coen,1998
7500000,New Line Cinema,USA,Tony Kaye,Crime,6719864,American History X,R,20-11-1998,119,8.5,Edward Norton,857333,David McKenna,1998
90000000,Walt Disney Feature Animation Florida,USA,Tony Bancroft,Animation,120620254,Mulan,G,19-06-1998,88,7.6,Ming-Na Wen,193214,Robert D. San Souci,1998
140000000,Touchstone Pictures,USA,Michael Bay,Action,201573391,Armageddon,PG-13,01-07-1998,151,6.6,Bruce Willis,344203,Jonathan Hensleigh,1998
60000000,Paramount Pictures,USA,Peter Weir,Comedy,125618201,The Truman Show,PG,05-06-1998,103,8.1,Jim Carrey,740961,Andrew Niccol,1998
0,Summit Entertainment,UK,Guy Ritchie,Comedy,3650677,"Lock, Stock and Two Smoking Barrels",R,28-08-1998,107,8.2,Jason Flemyng,450149,Guy Ritchie,1998
60000,Harvest Filmworks,USA,Darren Aronofsky,Drama,3216970,Pi,R,10-07-1998,84,7.5,Sean Gullette,151309,Darren Aronofsky,1998
23000000,Twentieth Century Fox Film Corporation,USA,Bobby Farrelly,Comedy,176484651,There's Something About Mary,R,15-07-1998,119,7.1,Ben Stiller,259794,Ed Decter,1998
45000000,Amen Ra Films,USA,Stephen Norrington,Action,70087718,Blade,R,21-08-1998,120,7.1,Wesley Snipes,206719,David S. Goyer,1998
25000000,Midwinter Productions Inc.,USA,Ronny Yu,Comedy,32383850,Bride of Chucky,R,16-10-1998,89,5.4,Jennifer Tilly,42757,Don Mancini,1998
0,Cinema Vehicle Services,USA,Nancy Meyers,Adventure,66308518,The Parent Trap,PG,29-07-1998,128,6.5,Lindsay Lohan,96539,Erich Kästner,1998
90000000,Universal Pictures,USA,Martin Brest,Drama,44619100,Meet Joe Black,PG-13,13-11-1998,178,7.1,Brad Pitt,180700,Ron Osborn,1998
48000000,DiNovi Pictures,USA,Griffin Dunne,Comedy,46683377,Practical Magic,PG-13,16-10-1998,104,6.2,Sandra Bullock,60149,Alice Hoffman,1998
60000000,Universal Pictures,USA,Harold Becker,Action,32940507,Mercury Rising,R,03-04-1998,111,6.1,Bruce Willis,57649,Ryne Douglas Pearson,1998
52000000,Fox 2000 Pictures,USA,Terrence Malick,Drama,36400491,The Thin Red Line,R,15-01-1999,170,7.6,Jim Caviezel,148812,James Jones,1998
27000000,Mystery Clock Cinema,Australia,Alex Proyas,Mystery,14378331,Ciudad en tinieblas,R,27-02-1998,100,7.7,Rufus Sewell,166822,Alex Proyas,1998
20000000,Mandalay Entertainment,USA,John McNaughton,Crime,29753944,Wild Things,R,20-03-1998,108,6.5,Kevin Bacon,95388,Stephen Peters,1998
55000000,FGM Entertainment,UK,John Frankenheimer,Action,41616262,Ronin,R,25-09-1998,122,7.3,Robert De Niro,152869,J.D. Zeik,1998
18500000,Fear and Loathing LLC,USA,Terry Gilliam,Adventure,10680275,Fear and Loathing in Las Vegas,R,22-05-1998,118,7.7,Johnny Depp,226427,Hunter S. Thompson,1998
25000000,Universal Pictures,USA,John Madden,Comedy,100317794,Shakespeare in Love,R,08-01-1999,123,7.2,Gwyneth Paltrow,187035,Marc Norman,1998
33000000,New Line Cinema,USA,Brett Ratner,Action,141153686,Rush Hour,PG-13,18-09-1998,98,6.9,Jackie Chan,201905,Ross LaManna,1998
65000000,Warner Bros.,USA,Nora Ephron,Comedy,115821495,You've Got Mail,PG,18-12-1998,119,6.6,Tom Hanks,163612,Miklós László,1998
20000000,Robert Simonds Productions,USA,Frank Coraci,Comedy,161491646,The Waterboy,PG-13,06-11-1998,90,6.1,Adam Sandler,127466,Tim Herlihy,1998
75000000,Paramount Pictures,USA,Mimi Leder,Action,140464664,Deep Impact,PG-13,08-05-1998,120,6.1,Robert Duvall,142094,Bruce Joel Rubin,1998
80000000,New Line Cinema,USA,Stephen Hopkins,Action,69117629,Lost in Space,PG-13,03-04-1998,130,5.1,Gary Oldman,61386,Irwin Allen,1998
120000000,Pixar Animation Studios,USA,John Lasseter,Animation,162798565,A Bug's Life,G,25-11-1998,95,7.2,Kevin Spacey,226736,John Lasseter,1998
9000000,American Empirical Pictures,USA,Wes Anderson,Comedy,17105219,Rushmore,R,19-02-1999,93,7.7,Jason Schwartzman,144975,Wes Anderson,1998
70000000,DreamWorks Animation,USA,Brenda Chapman,Animation,101217900,The Prince of Egypt,PG,18-12-1998,99,7,Val Kilmer,98359,Philip LaZebnik,1998
15000000,Dimension Films,USA,Robert Rodriguez,Horror,40064955,The Faculty,R,25-12-1998,104,6.4,Jordana Brewster,96886,David Wechter,1998
90000000,Touchstone Pictures,USA,Tony Scott,Action,111549836,Enemy of the State,R,20-11-1998,132,7.3,Will Smith,199848,David Marconi,1998
